instance,city,demand_baseline,outsourcing_cost_multiplier,region_multiplier,global_multiplier,model,max_n_shifts,workforce_size,objective_value
berlin_db=0.50,berlin,0.5,1.5,1.5,0.8,fixed,,20,3975.7500000000396
berlin_db=0.50,berlin,0.5,1.5,1.5,0.8,partflex,3.0,20,
berlin_db=1.00,berlin,1.0,1.5,1.5,0.8,fixed,,20,8370.116666666403
berlin_db=1.00,berlin,1.0,1.5,1.5,0.8,partflex,3.0,20,
berlin_db=2.00,berlin,2.0,1.5,1.5,0.8,fixed,,20,18062.97916666672
berlin_db=2.00,berlin,2.0,1.5,1.5,0.8,partflex,3.0,20,
berlin_db=4.00,berlin,4.0,1.5,1.5,0.8,fixed,,20,38247.888849206356
berlin_db=4.00,berlin,4.0,1.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=0.50,frankfurt,0.5,1.5,1.5,0.8,fixed,,20,2029.4500000000671
frankfurt_db=0.50,frankfurt,0.5,1.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=1.00,frankfurt,1.0,1.5,1.5,0.8,fixed,,20,4224.499999999979
frankfurt_db=1.00,frankfurt,1.0,1.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=2.00,frankfurt,2.0,1.5,1.5,0.8,fixed,,20,9590.666666666642
frankfurt_db=2.00,frankfurt,2.0,1.5,1.5,0.8,partflex,3.0,20,
frankfurt_db=4.00,frankfurt,4.0,1.5,1.5,0.8,fixed,,20,20962.704126984157
frankfurt_db=4.00,frankfurt,4.0,1.5,1.5,0.8,partflex,3.0,20,
lyon_db=0.50,lyon,0.5,1.5,1.5,0.8,fixed,,20,2845.729166666662
lyon_db=0.50,lyon,0.5,1.5,1.5,0.8,partflex,3.0,20,
lyon_db=1.00,lyon,1.0,1.5,1.5,0.8,fixed,,20,7032.1204365079375
lyon_db=1.00,lyon,1.0,1.5,1.5,0.8,partflex,3.0,20,
lyon_db=2.00,lyon,2.0,1.5,1.5,0.8,fixed,,20,15931.269259319144
lyon_db=2.00,lyon,2.0,1.5,1.5,0.8,partflex,3.0,20,
lyon_db=4.00,lyon,4.0,1.5,1.5,0.8,fixed,,20,34534.22183573982
lyon_db=4.00,lyon,4.0,1.5,1.5,0.8,partflex,3.0,20,
paris_db=0.50,paris,0.5,1.5,1.5,0.8,fixed,,20,9326.858452380942
paris_db=0.50,paris,0.5,1.5,1.5,0.8,partflex,3.0,20,
paris_db=1.00,paris,1.0,1.5,1.5,0.8,fixed,,20,20846.51764874017
paris_db=1.00,paris,1.0,1.5,1.5,0.8,partflex,3.0,20,
paris_db=2.00,paris,2.0,1.5,1.5,0.8,fixed,,20,44552.86258430308
paris_db=2.00,paris,2.0,1.5,1.5,0.8,partflex,3.0,20,
paris_db=4.00,paris,4.0,1.5,1.5,0.8,fixed,,20,90790.54625870565
paris_db=4.00,paris,4.0,1.5,1.5,0.8,partflex,3.0,20,
