,regions,global_employees,region_employees,obj_value,gap,elapsed_time,status,hiring_costs,outsourcing_costs,exec_time,n_variables,n_constraints,n_nonzeroes,city,demand_baseline,week_demand_type,weekend_demand_type,outsourcing_cost_multiplier,model,regional_multiplier,global_multiplier
0,"[0, 1, 2, 3]",39,"{0: 10, 1: 10, 2: 9, 3: 10}",6783.8,6.879133674560693e-05,70.1526210308075,2,936.0,5847.800000003522,70.23255681991577,228600,102084,866807,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
1,"[0, 1, 2, 3]",58,"{0: 15, 1: 14, 2: 14, 3: 15}",5793.0,0.0001519066027929474,120.1022539138794,9,1392.0,4401.033333336095,120.20464205741882,291680,103528,1243264,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
2,"[0, 1, 2, 3]",62,"{0: 16, 1: 15, 2: 15, 3: 16}",5617.1,0.00019393974041177954,120.11179614067078,9,1488.0,4129.133333335948,120.21341586112976,304960,103832,1322012,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
3,"[0, 1, 2, 3]",66,"{0: 17, 1: 16, 2: 16, 3: 17}",5449.4,0.0006433080477539184,120.09757494926453,9,1584.0,3865.416666669147,120.21557593345642,318240,104136,1400760,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
4,"[0, 1, 2, 3]",77,"{0: 20, 1: 19, 2: 19, 3: 19}",5038.1,0.004578422859468981,120.09534883499146,9,1848.0,3190.1250000021782,120.21953892707825,354760,104972,1610194,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
5,"[0, 1, 2, 3]",97,"{0: 25, 1: 24, 2: 24, 3: 24}",4517.7,0.029285439959860327,120.12074208259583,9,2328.0,2189.7250000014074,120.28497195243835,421160,106492,2003934,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
6,"[0, 1, 2, 3]",116,"{0: 30, 1: 29, 2: 28, 3: 29}",4246.1,0.03310280936921875,120.23323893547058,9,2784.0,1462.0750000008957,120.41330814361572,484240,107936,2377881,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
7,"[0, 1, 2, 3]",136,"{0: 35, 1: 34, 2: 33, 3: 34}",4241.5,0.09298996487680852,120.16413807868958,9,3264.0,977.5000000006512,120.3507149219513,550640,109456,2771621,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
8,"[0, 1, 2, 3]",194,"{0: 50, 1: 48, 2: 47, 3: 49}",4800.9,0.02644323401065483,120.20725297927856,9,4656.0,144.8500000000813,120.45860505104065,743200,113864,3915765,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
9,"[0, 1, 2, 3]",271,"{0: 70, 1: 67, 2: 66, 3: 68}",6504.5,7.30266470389301e-05,23.947715997695923,2,6504.0,0.4749999999994543,24.290451049804688,998840,119716,5426839,berlin,1.00,doublepeak,uniform,1.5,fixed,1.5,0.8
