,regions,global_employees,region_employees,obj_value,gap,elapsed_time,status,hiring_costs,outsourcing_costs,exec_time,n_variables,n_constraints,n_nonzeroes,city,demand_baseline,week_demand_type,weekend_demand_type,outsourcing_cost_multiplier,model,regional_multiplier,global_multiplier
0,"[0, 1, 2, 3]",39,"{0: 10, 1: 10, 2: 9, 3: 10}",6546.0,6.046988335474032e-05,22.68089199066162,2,936.0,5609.958333336849,22.760714054107666,228912,102085,866851,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
1,"[0, 1, 2, 3]",58,"{0: 15, 1: 14, 2: 14, 3: 15}",5507.1,1.8197731065475188e-05,83.86001706123352,2,1392.0,4115.116666669356,83.95923399925232,292144,103529,1243308,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
2,"[0, 1, 2, 3]",62,"{0: 16, 1: 15, 2: 15, 3: 16}",5334.8,7.029338413716844e-05,82.84751892089844,2,1487.9999999989454,3846.766665229428,82.95417785644531,305456,103833,1322056,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
3,"[0, 1, 2, 3]",66,"{0: 17, 1: 16, 2: 16, 3: 17}",5180.7,0.0003099625612342831,120.10868287086487,9,1584.0,3596.733333335602,120.22553706169128,318768,104137,1400804,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
4,"[0, 1, 2, 3]",77,"{0: 20, 1: 19, 2: 19, 3: 19}",4837.5,0.0005288500251514938,120.13010001182556,9,1848.0,2989.5416666685805,120.24980115890503,355376,104973,1610238,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
5,"[0, 1, 2, 3]",97,"{0: 25, 1: 24, 2: 24, 3: 24}",4528.7,0.0018962433761977543,120.13099193572998,9,2327.999999996613,2200.691668248831,120.26882672309875,421936,106493,2003978,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
6,"[0, 1, 2, 3]",116,"{0: 30, 1: 29, 2: 28, 3: 29}",4527.3,0.0016925067693679247,120.1421480178833,9,2784.0,1743.3083333345403,120.31460189819336,485168,107938,2377969,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
7,"[0, 1, 2, 3]",136,"{0: 35, 1: 34, 2: 33, 3: 34}",4752.8,0.000775857467707587,120.12455892562866,9,3263.999999999969,1488.8083351728028,120.3486692905426,551728,109458,2771709,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
8,"[0, 1, 2, 3]",194,"{0: 50, 1: 48, 2: 47, 3: 49}",5992.6,0.004614023963102621,120.22334599494934,9,4656.0,1336.6000000012982,120.46839714050293,744752,113867,3915897,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
9,"[0, 1, 2, 3]",271,"{0: 70, 1: 67, 2: 66, 3: 68}",7813.1,7.263418942992438e-05,19.016155004501343,2,6504.0,1309.1250000013033,19.352734088897705,1001008,119720,5427015,berlin,1.00,doublepeak,uniform,1.5,flex,1.5,0.8
